Sample ID,Commodity,Pesticide Code,Pesticide Name,Concentration,LOD,pp_,Annotate,Quantitate,Mean,Commodity Type,Variety,Commodity Claim,Facility Type,Origin,Country,State,Quantity,EPA Tolerance (ppm)
"CA9810130122STCA1","ST","626","Iprodione","0.61","0.021","M","","M","O","FR","","NC","D","1","","CA","","15.0"
"CA9810130122STCA1","ST","159","Methomyl","0.24","0.012","M","","H","O","FR","","NC","D","1","","CA","","2"
"CA9810130140STCA1","ST","011","Captan","0.29","0.012","M","","M","O","FR","","NC","D","1","","CA","","25"
"CA9810130140STCA1","ST","679","Myclobutanil","0.033","0.02","M","Q","H","O","FR","","NC","D","1","","CA","","0.5 R"
"CA9810130198STCA1","ST","159","Methomyl","0.02","0.012","M","Q","H","O","FR","","NC","T","1","","CA","","2"
"CA9810130198STCA1","ST","102","Carbaryl","0.5","0.008","M","","H","O","FR","","NC","T","1","","CA","","10"
"CA9810130211STUS1","ST","192","Benomyl","0.18","0.05","M","","H","O","FR","","NC","T","1","","CA","","5.0"
"CA9810130211STCA1","ST","159","Methomyl","0.071","0.012","M","","H","O","FR","","NC","T","1","","CA","","2"
"CA9810140020STUS1","ST","192","Benomyl","0.083","0.05","M","Q","H","O","FR","","NC","T","1","","CA","","5.0"
"CA9810140020STCA1","ST","623","Propargite","0.033","0.02","M","Q","H","O","FR","","NC","T","1","","CA","","7"
"CA9811020149STUS1","ST","192","Benomyl","0.53","0.05","M","","H","O","FR","","NC","D","1","","CA","","5.0"
"CA9811020149STCA1","ST","679","Myclobutanil","0.15","0.02","M","","H","O","FR","","NC","D","1","","CA","","0.5 R"
"CA9811030004STUS1","ST","192","Benomyl","1.2","0.05","M","","H","O","FR","","NC","D","1","","CA","","5.0"
"CA9811030004STCA1","ST","679","Myclobutanil","0.28","0.02","M","","H","O","FR","","NC","D","1","","CA","","0.5 R"
"CA9811030004STCA1","ST","159","Methomyl","0.13","0.012","M","","H","O","FR","","NC","D","1","","CA","","2"
"CA9811030121STCA1","ST","011","Captan","0.074","0.012","M","","M","O","FR","","NC","O","1","","CA","","25"
"CA9811030121STCA1","ST","679","Myclobutanil","0.033","0.02","M","Q","H","O","FR","","NC","O","1","","CA","","0.5 R"
"CA9811030121STUS1","ST","192","Benomyl","1.3","0.05","M","","H","O","FR","","NC","O","1","","CA","","5.0"
"CA9811030121STCA1","ST","159","Methomyl","1.3","0.012","M","","H","O","FR","","NC","O","1","","CA","","2"
"CA9812140053STCA1","ST","011","Captan","0.49","0.012","M","","M","O","FR","","NC","T","1","","FL","","25"
"CA9812140053STCA1","ST","159","Methomyl","0.02","0.012","M","Q","H","O","FR","","NC","T","1","","FL","","2"
"CA9812140053STUS1","ST","192","Benomyl","1","0.05","M","","H","O","FR","","NC","T","1","","FL","","5.0"
"CA9812140146STCA1","ST","679","Myclobutanil","0.033","0.02","M","Q","H","O","FR","","NC","D","1","","CA","","0.5 R"
"CA9812140406STCA1","ST","626","Iprodione","0.12","0.021","M","","M","O","FR","","NC","","1","","CA","","15.0"
"CA9812140406STCA1","ST","159","Methomyl","0.12","0.012","M","","H","O","FR","","NC","","1","","CA","","2"
"CA9812150017STUS1","ST","192","Benomyl","0.083","0.05","M","Q","H","O","FR","","NC","T","1","","CA","","5.0"
"CA9812150017STCA1","ST","529","Vinclozolin","1.8","0.01","M","","M","O","FR","","NC","T","1","","CA","","10"
"CA9812150017STCA1","ST","011","Captan","0.7","0.012","M","","M","O","FR","","NC","T","1","","CA","","25"
"CO9801120009STUS1","ST","192","Benomyl","0.28","0.05","M","","H","O","FR","","NC","D","1","","CA","","5.0"
"CO9801120009STWA1","ST","160","Chlorpyrifos","0.007","0.004","M","Q","","O","FR","","NC","D","1","","CA","","0.2"
"CO9801120011STWA1","ST","159","Methomyl","0.13","0.012","M","","M","O","FR","","NC","T","1","","FL","","2"
"CO9801120011STWA1","ST","679","Myclobutanil","0.095","0.057","M","Q","","O","FR","","NC","T","1","","FL","","0.5 R"
"CO9801120011STWA1","ST","011","Captan","0.65","0.011","M","","M","O","FR","","NC","T","1","","FL","","25"
"CO9803230006STWA1","ST","011","Captan","2.1","0.011","M","","M","O","FR","","NC","T","1","","CA","","25"
"CO9803230008STWA1","ST","626","Iprodione","0.38","0.024","M","","M","O","FR","","NC","T","1","","CA","","15.0"
"CO9806010007STWA1","ST","011","Captan","0.29","0.011","M","","M","O","FR","","NC","D","1","","CA","","25"
"CO9806010009STWA1","ST","011","Captan","0.13","0.011","M","","M","O","FR","","NC","D","1","","CA","","25"
"CO9808100008STWA1","ST","626","Iprodione","0.04","0.024","M","Q","","O","FR","","NC","T","1","","TX","","15.0"
"CO9809140012STWA1","ST","102","Carbaryl","0.35","0.021","M","","M","O","FR","","NC","T","1","","CA","","10"
"CO9811160001STWA1","ST","011","Captan","0.073","0.011","M","","M","O","FR","","NC","T","1","","CA","","25"
"CO9811160001STWA1","ST","529","Vinclozolin","0.021","0.002","M","","M","O","FR","","NC","T","1","","CA","","10"
"CO9811160001STWA1","ST","626","Iprodione","1.9","0.024","M","","M","O","FR","","NC","T","1","","CA","","15.0"
"CO9811160003STUS1","ST","192","Benomyl","0.35","0.05","M","","H","O","FR","","NC","D","1","","CA","","5.0"
"CO9811160003STWA1","ST","679","Myclobutanil","0.095","0.057","M","Q","","O","FR","","NC","D","1","","CA","","0.5 R"
"CO9811160003STWA1","ST","529","Vinclozolin","2.9","0.002","M","","M","O","FR","","NC","D","1","","CA","","10"
"CO9811160003STWA1","ST","011","Captan","1.4","0.011","M","","M","O","FR","","NC","D","1","","CA","","25"
"CO9812070010STWA1","ST","626","Iprodione","0.88","0.024","M","","M","O","FR","","NC","T","1","","CA","","15.0"
"CO9812070012STWA1","ST","626","Iprodione","0.1","0.024","M","","M","O","FR","","NC","T","1","","CA","","15.0"
"CO9812070012STUS1","ST","192","Benomyl","0.31","0.05","M","","H","O","FR","","NC","T","1","","CA","","5.0"
"CO9812070012STWA1","ST","529","Vinclozolin","0.25","0.002","M","","M","O","FR","","NC","T","1","","CA","","10"
"FL9801220007STFL2","ST","626","Iprodione","0.48","0.045","M","","M","O","FR","","NC","D","1","","FL","","15.0"
"FL9801220007STFL2","ST","011","Captan","2.8","0.015","M","","M","O","FR","","NC","D","1","","FL","","25"
"FL9801220033STFL2","ST","011","Captan","0.23","0.015","M","","M","O","FR","","NC","D","1","","FL","","25"
"FL9801220033STFL2","ST","900","Endosulfan I","0.008","0.005","M","Q","","O","FR","","NC","D","1","","FL","","2.0"
"FL9801220033STFL2","ST","159","Methomyl","0.025","0.015","M","Q","","O","FR","","NC","D","1","","FL","","2"
"FL9801220033STFL2","ST","902","Endosulfan sulfate","0.013","0.008","M","Q","","O","FR","","NC","D","1","","FL","","2.0"
"FL9801260001STFL2","ST","159","Methomyl","0.26","0.015","M","","H","O","FR","","NC","D","1","","FL","","2"
"FL9801260001STFL2","ST","011","Captan","0.77","0.015","M","","M","O","FR","","NC","D","1","","FL","","25"
"FL9801260002STUS1","ST","192","Benomyl","0.17","0.05","M","","H","O","FR","","NC","D","1","","FL","","5.0"
"FL9801260002STFL2","ST","011","Captan","0.55","0.015","M","","M","O","FR","","NC","D","1","","FL","","25"
"FL9801260002STFL2","ST","626","Iprodione","0.28","0.045","M","","M","O","FR","","NC","D","1","","FL","","15.0"
"FL9801260023STFL2","ST","626","Iprodione","0.075","0.045","M","Q","","O","FR","","NC","D","1","","FL","","15.0"
"FL9801260023STFL2","ST","011","Captan","0.025","0.015","M","Q","","O","FR","","NC","D","1","","FL","","25"
"FL9801260026STFL2","ST","626","Iprodione","1.3","0.045","M","","M","O","FR","","NC","D","1","","FL","","15.0"
"FL9802240034STUS1","ST","192","Benomyl","0.083","0.05","M","Q","H","O","FR","","NC","D","1","","FL","","5.0"
"FL9802240034STFL2","ST","011","Captan","0.71","0.015","M","","M","O","FR","","NC","D","1","","FL","","25"
"FL9802240034STFL2","ST","102","Carbaryl","0.33","0.009","M","","H","O","FR","","NC","D","1","","FL","","10"
"FL9803240025STFL2","ST","159","Methomyl","0.13","0.015","M","","H","O","FR","","NC","D","1","","FL","","2"
"FL9803240025STUS1","ST","192","Benomyl","0.083","0.05","M","Q","H","O","FR","","NC","D","1","","FL","","5.0"
"FL9803250002STUS1","ST","192","Benomyl","0.46","0.05","M","","H","O","FR","","NC","D","1","","CA","","5.0"
"FL9803250009STFL2","ST","011","Captan","0.55","0.015","M","","M","O","FR","","NC","D","1","","FL","","25"
"FL9803250019STFL2","ST","902","Endosulfan sulfate","0.026","0.008","M","","M","O","FR","","NC","D","1","","FL","","2.0"
"FL9803250019STFL2","ST","901","Endosulfan II","0.013","0.008","M","Q","","O","FR","","NC","D","1","","FL","","2.0"
"FL9803250019STFL2","ST","159","Methomyl","1.7","0.015","M","","H","O","FR","","NC","D","1","","FL","","2"
"FL9803250019STFL2","ST","011","Captan","0.99","0.015","M","","M","R","FR","","NC","D","1","","FL","","25"
"FL9803250038STFL2","ST","626","Iprodione","0.075","0.045","M","Q","","O","FR","","NC","D","1","","FL","","15.0"
"FL9803250038STFL2","ST","011","Captan","0.53","0.015","M","","M","O","FR","","NC","D","1","","FL","","25"
"FL9803250038STFL2","ST","679","Myclobutanil","0.125","0.075","M","Q","","O","FR","","NC","D","1","","FL","","0.5 R"
"FL9803260005STFL2","ST","011","Captan","0.2","0.015","M","","M","O","FR","","NC","D","1","","FL","","25"
"FL9803260032STFL2","ST","159","Methomyl","0.095","0.015","M","","H","O","FR","","NC","D","1","","FL","","2"
"FL9804150008STFL2","ST","626","Iprodione","0.083","0.05","M","Q","","O","FR","","NC","D","1","","CA","","15.0"
"FL9804150018STFL2","ST","011","Captan","2.4","0.017","M","","M","O","FR","","NC","D","1","","FL","","25"
"FL9804220001STFL2","ST","529","Vinclozolin","0.15","0.007","M","","M","O","FR","","NC","D","1","","CA","","10"
"FL9804220025STFL2","ST","529","Vinclozolin","0.31","0.007","M","","M","O","FR","","NC","D","1","","CA","","10"
"FL9804220034STFL2","ST","626","Iprodione","0.083","0.05","M","Q","","O","FR","","NC","D","1","","CA","","15.0"
"FL9805270002STFL2","ST","102","Carbaryl","0.19","0.009","M","","H","O","FR","","NC","D","1","","CA","","10"
"FL9806290009STFL2","ST","626","Iprodione","0.62","0.05","M","","M","O","FR","","NC","D","1","","CA","","15.0"
"FL9806290009STFL2","ST","102","Carbaryl","0.017","0.01","M","Q","","O","FR","","NC","D","1","","CA","","10"
"FL9806290023STFL2","ST","626","Iprodione","0.29","0.05","M","","M","O","FR","","NC","D","1","","CA","","15.0"
"FL9806290026STFL2","ST","529","Vinclozolin","0.059","0.007","M","","M","O","FR","","NC","D","1","","CA","","10"
"FL9807270001STFL2","ST","529","Vinclozolin","0.5","0.007","M","","M","O","FR","","NC","D","1","","CA","","10"
"FL9807270001STFL2","ST","052","Malathion","0.013","0.008","M","Q","","O","FR","","NC","D","1","","CA","","8"
"FL9807270027STFL2","ST","052","Malathion","0.013","0.008","M","Q","","O","FR","","NC","D","1","","CA","","8"
"FL9807280004STFL2","ST","159","Methomyl","0.91","0.017","M","","H","O","FR","","PD","D","1","","CA","","2"
"FL9807280004STFL2","ST","679","Myclobutanil","0.138","0.083","M","Q","","O","FR","","PD","D","1","","CA","","0.5 R"
"FL9807280004STFL2","ST","011","Captan","0.12","0.017","M","","M","O","FR","","PD","D","1","","CA","","25"
"FL9807280008STFL2","ST","052","Malathion","0.076","0.008","M","","M","O","FR","","NC","D","1","","CA","","8"
"FL9807280008STFL2","ST","011","Captan","0.24","0.017","M","","M","O","FR","","NC","D","1","","CA","","25"
"FL9807280008STFL2","ST","626","Iprodione","0.21","0.05","M","","M","O","FR","","NC","D","1","","CA","","15.0"
"FL9807280018STFL2","ST","626","Iprodione","0.24","0.05","M","","M","O","FR","","NC","D","1","","CA","","15.0"
"FL9807280025STFL2","ST","529","Vinclozolin","0.22","0.007","M","","M","O","FR","","PD","D","1","","CA","","10"
"FL9808200026STFL2","ST","159","Methomyl","0.16","0.017","M","","H","O","FR","","NC","D","1","","CA","","2"
"FL9808240005STFL2","ST","159","Methomyl","0.084","0.017","M","","H","O","FR","","NC","D","1","","CA","","2"
"FL9808240005STFL2","ST","902","Endosulfan sulfate","0.013","0.008","M","Q","","O","FR","","NC","D","1","","CA","","2.0"
"FL9808240025STFL2","ST","052","Malathion","0.061","0.008","M","","M","O","FR","","PD","D","1","","CA","","8"
"FL9809280026STFL2","ST","052","Malathion","0.051","0.008","M","","M","O","FR","","NC","D","1","","CA","","8"
"FL9810260002STFL2","ST","679","Myclobutanil","0.37","0.083","M","","M","O","FR","","NC","D","1","","CA","","0.5 R"
"FL9810260009STUS1","ST","192","Benomyl","0.49","0.05","M","","H","O","FR","","NC","D","1","","CA","","5.0"
"FL9810260009STFL2","ST","159","Methomyl","2.1","0.017","M","","H","R","FR","","NC","D","1","","CA","","2"
"FL9810260025STFL2","ST","626","Iprodione","0.98","0.05","M","","M","O","FR","","PD","D","1","","CA","","15.0"
"FL9810260025STFL2","ST","679","Myclobutanil","0.138","0.083","M","Q","","O","FR","","PD","D","1","","CA","","0.5 R"
"FL9810260038STFL2","ST","679","Myclobutanil","0.138","0.083","M","Q","","O","FR","","NC","D","1","","CA","","0.5 R"
"FL9810260038STFL2","ST","930","Bifenthrin","0.042","0.025","M","Q","","O","FR","","NC","D","1","","CA","","3.00"
"FL9811120018STFL2","ST","052","Malathion","0.15","0.008","M","","M","O","FR","","NC","D","1","","CA","","8"
"FL9811120018STFL2","ST","930","Bifenthrin","0.042","0.025","M","Q","","O","FR","","NC","D","1","","CA","","3.00"
"FL9811160025STFL2","ST","901","Endosulfan II","0.013","0.008","M","Q","","O","FR","","NC","D","1","","WI","","2.0"
"FL9811160025STFL2","ST","900","Endosulfan I","0.008","0.005","M","Q","","O","FR","","NC","D","1","","WI","","2.0"
"FL9811160025STFL2","ST","626","Iprodione","0.083","0.05","M","Q","","O","FR","","NC","D","1","","WI","","15.0"
"FL9811160025STFL2","ST","011","Captan","0.066","0.017","M","","M","O","FR","","NC","D","1","","WI","","25"
"FL9812140002STFL2","ST","159","Methomyl","0.028","0.017","M","Q","","O","FR","","NC","D","1","","CA","","2"
"FL9812140002STFL2","ST","011","Captan","2.3","0.017","M","","M","O","FR","","NC","D","1","","CA","","25"
"FL9812140002STFL2","ST","529","Vinclozolin","0.67","0.007","M","","M","O","FR","","NC","D","1","","CA","","10"
"MD9801260003STCA1","ST","159","Methomyl","0.12","0.012","M","","H","O","FR","","NC","D","1","","FL","","2"
"MD9801260003STCA1","ST","679","Myclobutanil","0.067","0.02","M","","H","O","FR","","NC","D","1","","FL","","0.5 R"
"MD9801260003STCA1","ST","011","Captan","0.67","0.012","M","","M","O","FR","","NC","D","1","","FL","","25"
"MD9801260005STCA1","ST","011","Captan","0.066","0.012","M","","M","O","FR","","NC","D","1","","TX","","25"
"MD9801260008STCA1","ST","102","Carbaryl","0.04","0.008","M","","H","O","FR","","NC","D","1","","MN","","10"
"MD9802090001STCA1","ST","011","Captan","0.86","0.012","M","","M","O","FR","","NC","D","1","","","","25"
"MD9802090001STCA1","ST","159","Methomyl","0.15","0.012","M","","H","O","FR","","NC","D","1","","","","2"
"MD9802090001STCA1","ST","679","Myclobutanil","0.09","0.02","M","","H","O","FR","","NC","D","1","","","","0.5 R"
"MD9802090034STUS1","ST","192","Benomyl","0.58","0.05","M","","H","O","FR","","NC","T","1","","FL","","5.0"
"MD9802090034STCA1","ST","626","Iprodione","0.035","0.021","M","Q","M","O","FR","","NC","T","1","","FL","","15.0"
"MD9803020003STCA1","ST","626","Iprodione","0.036","0.021","M","","M","O","FR","","NC","D","1","","FL","","15.0"
"MD9803020003STCA1","ST","902","Endosulfan sulfate","0.012","0.007","M","Q","M","O","FR","","NC","D","1","","FL","","2.0"
"MD9803020003STCA1","ST","901","Endosulfan II","0.01","0.006","M","Q","M","O","FR","","NC","D","1","","FL","","2.0"
"MD9803020003STCA1","ST","102","Carbaryl","1.8","0.008","M","","H","R","FR","","NC","D","1","","FL","","10"
"MD9803020003STCA1","ST","011","Captan","0.39","0.012","M","","M","O","FR","","NC","D","1","","FL","","25"
