"Sample ID","Commod","Pesticide Code","Pesticide Name","Test Class","Concentration","LOD","pp_","Confirm 1","Confirm 2","Annotate","Quantitate","Mean","Extract","Determ","EPA Tolerance (ppm)","pesticide_name_clean"
"TX1511160020STCA1P","ST","ABB","Spinosad","I",0.0085,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"TX1512140216STCA1A","ST","ABB","Spinosad","I",0.0035,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"NY0411160079STMI1","ST","ABC","Spinosad A","I",0.035,0.021,"M","L",NA,"Q","PM","O","805","61","1","spinosad a"
"MD0802040001STCA1","ST","ABD","Spinosad D","I",0.001,6e-04,"M","LU",NA,"Q","M","O","556","52","1","spinosad d"
"MI0811180007STMI1","ST","ABC","Spinosad A","I",0.028,0.0054,"M","LU",NA,NA,"ME","O","805","52","1","spinosad a"
"CO0902230009STMI1","ST","ABD","Spinosad D","I",0.016,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"NY0901200142STMI1","ST","ABC","Spinosad A","I",0.0014,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"TX0902230107STMI1P","ST","ABD","Spinosad D","I",0.0015,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"TX0902230408STMI1","ST","ABC","Spinosad A","I",0.015,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"TX0912280103STMI1","ST","ABD","Spinosad D","I",0.0056,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"TX0912280216STMI1","ST","ABC","Spinosad A","I",0.002,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"WI0902230101STMI1","ST","ABD","Spinosad D","I",0.0014,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"TX1411170105STCA1","ST","ABB","Spinosad","I",0.0062,0.0025,"M","LU",NA,NA,NA,"O","805","52","1","spinosad"
"TX1502170208STCA1","ST","ABB","Spinosad","I",0.064,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"WA1502230002STCA1","ST","ABB","Spinosad","I",0.02,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"CA1602170551STCA1","ST","ABB","Spinosad","I",0.039,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"MD1601270047STCA1","ST","ABB","Spinosad","I",0.0037,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"TX1601190419STCA1","ST","ABB","Spinosad","I",0.0071,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"TX1601190425STCA1","ST","ABB","Spinosad","I",0.0098,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"TX1602160040STCA1P","ST","ABB","Spinosad","I",0.0032,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"TX1602160419STCA1","ST","ABB","Spinosad","I",0.0086,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"TX1602160421STCA1","ST","ABB","Spinosad","I",0.021,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"WA1601250011STCA1P","ST","ABB","Spinosad","I",0.0037,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"MI0912210040STMI1","ST","ABC","Spinosad A","I",0.063,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"MI0912210040STMI1","ST","ABD","Spinosad D","I",0.011,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
