"Program","Year","Period","Week Ending","State","State ANSI","Data Item","Data label 1","Data label 2","Value","CV (%)"
"SURVEY",2025,"WEEK #20",2025-05-18,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT GOOD","-1",NA
"SURVEY",2025,"WEEK #20",2025-05-18,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT POOR","-1",NA
"SURVEY",2025,"WEEK #20",2025-05-18,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT VERY POOR","-1",NA
"SURVEY",2025,"WEEK #20",2025-05-18,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"3",NA
"SURVEY",2025,"WEEK #20",2025-05-18,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"24",NA
"SURVEY",2025,"WEEK #20",2025-05-18,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"49",NA
"SURVEY",2025,"WEEK #20",2025-05-18,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"24",NA
"SURVEY",2025,"WEEK #20",2025-05-18,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"0",NA
"SURVEY",2025,"WEEK #20",2025-05-18,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT EXCELLENT","-1",NA
"SURVEY",2025,"WEEK #20",2025-05-18,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT FAIR","-1",NA
"SURVEY",2025,"WEEK #20",2025-05-18,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT GOOD","-1",NA
"SURVEY",2025,"WEEK #20",2025-05-18,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT POOR","-1",NA
"SURVEY",2025,"WEEK #20",2025-05-18,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT VERY POOR","-1",NA
"SURVEY",2025,"WEEK #22",2025-06-01,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"2",NA
"SURVEY",2025,"WEEK #22",2025-06-01,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"36",NA
"SURVEY",2025,"WEEK #22",2025-06-01,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"29",NA
"SURVEY",2025,"WEEK #22",2025-06-01,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"33",NA
"SURVEY",2025,"WEEK #22",2025-06-01,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"0",NA
"SURVEY",2024,"MARKETING YEAR",NA,"CALIFORNIA","06","PRICE RECEIVED","MEASURED IN $ / CWT",NA,"119",NA
"SURVEY",2024,"MARKETING YEAR",NA,"CALIFORNIA","06","FRESH MARKET - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"(D)",NA
"SURVEY",2024,"MARKETING YEAR",NA,"CALIFORNIA","06","PROCESSING - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"(D)",NA
"SURVEY",2024,"MARKETING YEAR",NA,"FLORIDA","12","PRICE RECEIVED","MEASURED IN $ / CWT",NA,"165",NA
"SURVEY",2024,"MARKETING YEAR",NA,"FLORIDA","12","FRESH MARKET - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"(D)",NA
"SURVEY",2024,"MARKETING YEAR",NA,"FLORIDA","12","PROCESSING - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"(D)",NA
"SURVEY",2024,"WEEK #13",2024-03-31,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT EXCELLENT","11",NA
"SURVEY",2024,"WEEK #13",2024-03-31,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT FAIR","18",NA
"SURVEY",2024,"WEEK #13",2024-03-31,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT GOOD","69",NA
"SURVEY",2024,"WEEK #13",2024-03-31,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT POOR","2",NA
"SURVEY",2024,"WEEK #13",2024-03-31,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT VERY POOR","0",NA
"SURVEY",2024,"WEEK #13",2024-03-31,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"7",NA
"SURVEY",2024,"WEEK #13",2024-03-31,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"14",NA
"SURVEY",2024,"WEEK #13",2024-03-31,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"78",NA
"SURVEY",2024,"WEEK #13",2024-03-31,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"1",NA
"SURVEY",2024,"WEEK #13",2024-03-31,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"0",NA
"SURVEY",2024,"WEEK #13",2024-03-31,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT EXCELLENT","7",NA
"SURVEY",2024,"WEEK #13",2024-03-31,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT FAIR","17",NA
"SURVEY",2024,"WEEK #13",2024-03-31,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT GOOD","74",NA
"SURVEY",2024,"WEEK #13",2024-03-31,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT POOR","2",NA
"SURVEY",2024,"WEEK #13",2024-03-31,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT VERY POOR","0",NA
"SURVEY",2024,"WEEK #15",2024-04-14,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT EXCELLENT","14",NA
"SURVEY",2024,"WEEK #15",2024-04-14,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT FAIR","15",NA
"SURVEY",2024,"WEEK #15",2024-04-14,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT GOOD","69",NA
"SURVEY",2024,"WEEK #15",2024-04-14,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT POOR","2",NA
"SURVEY",2024,"WEEK #15",2024-04-14,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT VERY POOR","0",NA
"SURVEY",2024,"WEEK #15",2024-04-14,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"12",NA
"SURVEY",2024,"WEEK #15",2024-04-14,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"8",NA
"SURVEY",2024,"WEEK #15",2024-04-14,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"79",NA
"SURVEY",2024,"WEEK #15",2024-04-14,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"1",NA
"SURVEY",2024,"WEEK #15",2024-04-14,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"0",NA
"SURVEY",2024,"WEEK #15",2024-04-14,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT EXCELLENT","8",NA
"SURVEY",2024,"WEEK #15",2024-04-14,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT FAIR","19",NA
"SURVEY",2024,"WEEK #15",2024-04-14,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT GOOD","72",NA
"SURVEY",2024,"WEEK #15",2024-04-14,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT POOR","1",NA
"SURVEY",2024,"WEEK #15",2024-04-14,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT VERY POOR","0",NA
"SURVEY",2024,"WEEK #17",2024-04-28,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT EXCELLENT","13",NA
"SURVEY",2024,"WEEK #17",2024-04-28,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT FAIR","19",NA
"SURVEY",2024,"WEEK #17",2024-04-28,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT GOOD","67",NA
"SURVEY",2024,"WEEK #17",2024-04-28,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT POOR","1",NA
"SURVEY",2024,"WEEK #17",2024-04-28,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT VERY POOR","0",NA
"SURVEY",2024,"WEEK #17",2024-04-28,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"9",NA
"SURVEY",2024,"WEEK #17",2024-04-28,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"11",NA
"SURVEY",2024,"WEEK #17",2024-04-28,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"78",NA
"SURVEY",2024,"WEEK #17",2024-04-28,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"2",NA
"SURVEY",2024,"WEEK #17",2024-04-28,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"0",NA
"SURVEY",2024,"WEEK #17",2024-04-28,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT EXCELLENT","1",NA
"SURVEY",2024,"WEEK #17",2024-04-28,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT FAIR","32",NA
"SURVEY",2024,"WEEK #17",2024-04-28,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT GOOD","66",NA
"SURVEY",2024,"WEEK #17",2024-04-28,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT POOR","1",NA
"SURVEY",2024,"WEEK #17",2024-04-28,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT VERY POOR","0",NA
"SURVEY",2024,"WEEK #19",2024-05-12,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT EXCELLENT","10",NA
"SURVEY",2024,"WEEK #19",2024-05-12,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT FAIR","24",NA
"SURVEY",2024,"WEEK #19",2024-05-12,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT GOOD","62",NA
"SURVEY",2024,"WEEK #19",2024-05-12,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT POOR","4",NA
"SURVEY",2024,"WEEK #19",2024-05-12,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT VERY POOR","0",NA
"SURVEY",2024,"WEEK #19",2024-05-12,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"8",NA
"SURVEY",2024,"WEEK #19",2024-05-12,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"11",NA
"SURVEY",2024,"WEEK #19",2024-05-12,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"55",NA
"SURVEY",2024,"WEEK #19",2024-05-12,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"26",NA
"SURVEY",2024,"WEEK #19",2024-05-12,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"0",NA
"SURVEY",2024,"WEEK #19",2024-05-12,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT EXCELLENT","2",NA
"SURVEY",2024,"WEEK #19",2024-05-12,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT FAIR","35",NA
"SURVEY",2024,"WEEK #19",2024-05-12,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT GOOD","61",NA
"SURVEY",2024,"WEEK #19",2024-05-12,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT POOR","2",NA
"SURVEY",2024,"WEEK #19",2024-05-12,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT VERY POOR","0",NA
"SURVEY",2024,"WEEK #21",2024-05-26,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"1",NA
"SURVEY",2024,"WEEK #21",2024-05-26,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"31",NA
"SURVEY",2024,"WEEK #21",2024-05-26,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"50",NA
"SURVEY",2024,"WEEK #21",2024-05-26,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"18",NA
"SURVEY",2024,"WEEK #21",2024-05-26,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"0",NA
"SURVEY",2024,"WEEK #21",2024-05-26,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT EXCELLENT","1",NA
"SURVEY",2024,"WEEK #21",2024-05-26,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT FAIR","40",NA
"SURVEY",2024,"WEEK #21",2024-05-26,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT GOOD","56",NA
"SURVEY",2024,"WEEK #21",2024-05-26,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT POOR","3",NA
"SURVEY",2024,"WEEK #21",2024-05-26,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT VERY POOR","0",NA
"SURVEY",2024,"YEAR",NA,"CALIFORNIA","06","ACRES HARVESTED",NA,NA,"45,000",NA
"SURVEY",2024,"YEAR",NA,"CALIFORNIA","06","ACRES PLANTED",NA,NA,"45,300",NA
"SURVEY",2024,"YEAR",NA,"CALIFORNIA","06","PRODUCTION","MEASURED IN $",NA,"3,456,522,000",NA
"SURVEY",2024,"YEAR",NA,"CALIFORNIA","06","PRODUCTION","MEASURED IN CWT",NA,"29,000,000",NA
"SURVEY",2024,"YEAR",NA,"CALIFORNIA","06","YIELD","MEASURED IN CWT / ACRE",NA,"645",NA
"SURVEY",2024,"YEAR",NA,"CALIFORNIA","06","FRESH MARKET - PRODUCTION","MEASURED IN $",NA,"(D)",NA
"SURVEY",2024,"YEAR",NA,"CALIFORNIA","06","FRESH MARKET","UTILIZED - PRODUCTION","MEASURED IN CWT","(D)",NA
"SURVEY",2024,"YEAR",NA,"CALIFORNIA","06","NOT SOLD - PRODUCTION","MEASURED IN CWT",NA,"58,000",NA
"SURVEY",2024,"YEAR",NA,"CALIFORNIA","06","PROCESSING - PRODUCTION","MEASURED IN $",NA,"(D)",NA
"SURVEY",2024,"YEAR",NA,"CALIFORNIA","06","PROCESSING","UTILIZED - PRODUCTION","MEASURED IN CWT","(D)",NA
"SURVEY",2024,"YEAR",NA,"CALIFORNIA","06","UTILIZED - PRODUCTION","MEASURED IN CWT",NA,"28,942,000",NA
"SURVEY",2024,"YEAR",NA,"FLORIDA","12","ACRES HARVESTED",NA,NA,"16,200",NA
"SURVEY",2024,"YEAR",NA,"FLORIDA","12","ACRES PLANTED",NA,NA,"16,200",NA
"SURVEY",2024,"YEAR",NA,"FLORIDA","12","PRODUCTION","MEASURED IN $",NA,"540,341,000",NA
"SURVEY",2024,"YEAR",NA,"FLORIDA","12","PRODUCTION","MEASURED IN CWT",NA,"3,320,000",NA
"SURVEY",2024,"YEAR",NA,"FLORIDA","12","YIELD","MEASURED IN CWT / ACRE",NA,"205",NA
"SURVEY",2024,"YEAR",NA,"FLORIDA","12","FRESH MARKET - PRODUCTION","MEASURED IN $",NA,"(D)",NA
"SURVEY",2024,"YEAR",NA,"FLORIDA","12","FRESH MARKET","UTILIZED - PRODUCTION","MEASURED IN CWT","(D)",NA
"SURVEY",2024,"YEAR",NA,"FLORIDA","12","NOT SOLD - PRODUCTION","MEASURED IN CWT",NA,"36,500",NA
"SURVEY",2024,"YEAR",NA,"FLORIDA","12","PROCESSING - PRODUCTION","MEASURED IN $",NA,"(D)",NA
"SURVEY",2024,"YEAR",NA,"FLORIDA","12","PROCESSING","UTILIZED - PRODUCTION","MEASURED IN CWT","(D)",NA
"SURVEY",2024,"YEAR",NA,"FLORIDA","12","UTILIZED - PRODUCTION","MEASURED IN CWT",NA,"3,283,500",NA
"SURVEY",2023,"MARKETING YEAR",NA,"CALIFORNIA","06","PRICE RECEIVED","MEASURED IN $ / CWT",NA,"121",NA
"SURVEY",2023,"MARKETING YEAR",NA,"CALIFORNIA","06","FRESH MARKET - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"(D)",NA
"SURVEY",2023,"MARKETING YEAR",NA,"CALIFORNIA","06","PROCESSING - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"(D)",NA
"SURVEY",2023,"MARKETING YEAR",NA,"FLORIDA","12","PRICE RECEIVED","MEASURED IN $ / CWT",NA,"147",NA
"SURVEY",2023,"MARKETING YEAR",NA,"FLORIDA","12","FRESH MARKET - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"(D)",NA
"SURVEY",2023,"MARKETING YEAR",NA,"FLORIDA","12","PROCESSING - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"(D)",NA
"SURVEY",2023,"WEEK #13",2023-04-02,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"7",NA
"SURVEY",2023,"WEEK #13",2023-04-02,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"17",NA
"SURVEY",2023,"WEEK #13",2023-04-02,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"74",NA
"SURVEY",2023,"WEEK #13",2023-04-02,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"2",NA
"SURVEY",2023,"WEEK #13",2023-04-02,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"0",NA
"SURVEY",2023,"WEEK #13",2023-04-02,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT EXCELLENT","4",NA
"SURVEY",2023,"WEEK #13",2023-04-02,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT FAIR","12",NA
"SURVEY",2023,"WEEK #13",2023-04-02,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT GOOD","83",NA
"SURVEY",2023,"WEEK #13",2023-04-02,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT POOR","1",NA
"SURVEY",2023,"WEEK #13",2023-04-02,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT VERY POOR","0",NA
"SURVEY",2023,"WEEK #15",2023-04-16,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"8",NA
"SURVEY",2023,"WEEK #15",2023-04-16,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"19",NA
"SURVEY",2023,"WEEK #15",2023-04-16,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"72",NA
"SURVEY",2023,"WEEK #15",2023-04-16,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"1",NA
"SURVEY",2023,"WEEK #15",2023-04-16,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"0",NA
"SURVEY",2023,"WEEK #15",2023-04-16,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT EXCELLENT","8",NA
"SURVEY",2023,"WEEK #15",2023-04-16,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT FAIR","7",NA
"SURVEY",2023,"WEEK #15",2023-04-16,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT GOOD","84",NA
"SURVEY",2023,"WEEK #15",2023-04-16,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT POOR","1",NA
"SURVEY",2023,"WEEK #15",2023-04-16,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT VERY POOR","0",NA
"SURVEY",2023,"WEEK #17",2023-04-30,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"1",NA
"SURVEY",2023,"WEEK #17",2023-04-30,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"32",NA
"SURVEY",2023,"WEEK #17",2023-04-30,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"66",NA
"SURVEY",2023,"WEEK #17",2023-04-30,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"1",NA
"SURVEY",2023,"WEEK #17",2023-04-30,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"0",NA
"SURVEY",2023,"WEEK #17",2023-04-30,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT EXCELLENT","9",NA
"SURVEY",2023,"WEEK #17",2023-04-30,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT FAIR","14",NA
"SURVEY",2023,"WEEK #17",2023-04-30,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT GOOD","77",NA
"SURVEY",2023,"WEEK #17",2023-04-30,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT POOR","0",NA
"SURVEY",2023,"WEEK #17",2023-04-30,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT VERY POOR","0",NA
"SURVEY",2023,"WEEK #19",2023-05-14,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"2",NA
"SURVEY",2023,"WEEK #19",2023-05-14,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"35",NA
"SURVEY",2023,"WEEK #19",2023-05-14,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"61",NA
"SURVEY",2023,"WEEK #19",2023-05-14,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"2",NA
"SURVEY",2023,"WEEK #19",2023-05-14,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"0",NA
"SURVEY",2023,"WEEK #19",2023-05-14,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT EXCELLENT","13",NA
"SURVEY",2023,"WEEK #19",2023-05-14,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT FAIR","9",NA
"SURVEY",2023,"WEEK #19",2023-05-14,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT GOOD","78",NA
"SURVEY",2023,"WEEK #19",2023-05-14,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT POOR","0",NA
"SURVEY",2023,"WEEK #19",2023-05-14,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT VERY POOR","0",NA
"SURVEY",2023,"WEEK #20",2023-05-21,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"1",NA
"SURVEY",2023,"WEEK #20",2023-05-21,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"41",NA
"SURVEY",2023,"WEEK #20",2023-05-21,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"55",NA
"SURVEY",2023,"WEEK #20",2023-05-21,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"3",NA
"SURVEY",2023,"WEEK #20",2023-05-21,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"0",NA
"SURVEY",2023,"WEEK #21",2023-05-28,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"1",NA
"SURVEY",2023,"WEEK #21",2023-05-28,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"40",NA
"SURVEY",2023,"WEEK #21",2023-05-28,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"56",NA
"SURVEY",2023,"WEEK #21",2023-05-28,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"3",NA
"SURVEY",2023,"WEEK #21",2023-05-28,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"0",NA
"SURVEY",2023,"WEEK #21",2023-05-28,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT EXCELLENT","0",NA
"SURVEY",2023,"WEEK #21",2023-05-28,"NORTH CAROLINA","37","CONDITION","PREVIOUS YEAR","MEASURED IN PCT FAIR","21",NA
