"Program","Year","Period","Week Ending","State","State ANSI","Data Item","Data label 1","Data label 2","Value","CV (%)"
"CENSUS",2017,"YEAR",NA,"NEW YORK","36","OPERATIONS WITH AREA NON-BEARING",NA,NA,"194","21.7"
"CENSUS",2017,"YEAR",NA,"NORTH CAROLINA","37","ACRES BEARING",NA,NA,"831","28.8"
"CENSUS",2017,"YEAR",NA,"NORTH CAROLINA","37","ACRES GROWN",NA,NA,"855","27.6"
"CENSUS",2017,"YEAR",NA,"NORTH CAROLINA","37","ACRES NON-BEARING",NA,NA,"24","35.2"
"CENSUS",2017,"YEAR",NA,"NORTH CAROLINA","37","OPERATIONS WITH AREA BEARING",NA,NA,"357","27.5"
"CENSUS",2017,"YEAR",NA,"NORTH CAROLINA","37","OPERATIONS WITH AREA GROWN",NA,NA,"369","25.1"
"CENSUS",2017,"YEAR",NA,"NORTH CAROLINA","37","OPERATIONS WITH AREA NON-BEARING",NA,NA,"43","31.2"
"CENSUS",2017,"YEAR",NA,"OREGON","41","ACRES BEARING",NA,NA,"1,855","18.2"
"CENSUS",2017,"YEAR",NA,"OREGON","41","ACRES GROWN",NA,NA,"2,234","20.0"
"CENSUS",2017,"YEAR",NA,"OREGON","41","ACRES NON-BEARING",NA,NA,"379","39.6"
"CENSUS",2017,"YEAR",NA,"OREGON","41","OPERATIONS WITH AREA BEARING",NA,NA,"277","29.0"
"CENSUS",2017,"YEAR",NA,"OREGON","41","OPERATIONS WITH AREA GROWN",NA,NA,"324","25.6"
"CENSUS",2017,"YEAR",NA,"OREGON","41","OPERATIONS WITH AREA NON-BEARING",NA,NA,"99","37.6"
"CENSUS",2017,"YEAR",NA,"WASHINGTON","53","ACRES BEARING",NA,NA,"1,138","17.0"
"CENSUS",2017,"YEAR",NA,"WASHINGTON","53","ACRES GROWN",NA,NA,"1,218","16.0"
"CENSUS",2017,"YEAR",NA,"WASHINGTON","53","ACRES NON-BEARING",NA,NA,"80","14.7"
"CENSUS",2017,"YEAR",NA,"WASHINGTON","53","OPERATIONS WITH AREA BEARING",NA,NA,"364","23.9"
"CENSUS",2017,"YEAR",NA,"WASHINGTON","53","OPERATIONS WITH AREA GROWN",NA,NA,"411","20.7"
"CENSUS",2017,"YEAR",NA,"WASHINGTON","53","OPERATIONS WITH AREA NON-BEARING",NA,NA,"71","21.7"
"CENSUS",2012,"YEAR",NA,"CALIFORNIA","06","ACRES GROWN",NA,NA,"40,926","8.2"
"CENSUS",2012,"YEAR",NA,"CALIFORNIA","06","ACRES HARVESTED",NA,NA,"38,800","8.7"
"CENSUS",2012,"YEAR",NA,"CALIFORNIA","06","ACRES NOT HARVESTED",NA,NA,"2,126","32.5"
"CENSUS",2012,"YEAR",NA,"CALIFORNIA","06","OPERATIONS WITH AREA GROWN",NA,NA,"995","10.3"
"CENSUS",2012,"YEAR",NA,"CALIFORNIA","06","OPERATIONS WITH AREA HARVESTED",NA,NA,"887","10.1"
"CENSUS",2012,"YEAR",NA,"CALIFORNIA","06","OPERATIONS WITH AREA NOT HARVESTED",NA,NA,"216","11.4"
"CENSUS",2012,"YEAR",NA,"FLORIDA","12","ACRES GROWN",NA,NA,"11,400","10.5"
"CENSUS",2012,"YEAR",NA,"FLORIDA","12","ACRES HARVESTED",NA,NA,"11,350","10.6"
"CENSUS",2012,"YEAR",NA,"FLORIDA","12","ACRES NOT HARVESTED",NA,NA,"50","33.0"
"CENSUS",2012,"YEAR",NA,"FLORIDA","12","OPERATIONS WITH AREA GROWN",NA,NA,"242","11.7"
"CENSUS",2012,"YEAR",NA,"FLORIDA","12","OPERATIONS WITH AREA HARVESTED",NA,NA,"233","11.2"
"CENSUS",2012,"YEAR",NA,"FLORIDA","12","OPERATIONS WITH AREA NOT HARVESTED",NA,NA,"14","28.7"
"CENSUS",2012,"YEAR",NA,"NEW YORK","36","ACRES GROWN",NA,NA,"1,220","11.2"
"CENSUS",2012,"YEAR",NA,"NEW YORK","36","ACRES HARVESTED",NA,NA,"981","12.3"
"CENSUS",2012,"YEAR",NA,"NEW YORK","36","ACRES NOT HARVESTED",NA,NA,"239","15.1"
"CENSUS",2012,"YEAR",NA,"NEW YORK","36","OPERATIONS WITH AREA GROWN",NA,NA,"588","7.9"
"CENSUS",2012,"YEAR",NA,"NEW YORK","36","OPERATIONS WITH AREA HARVESTED",NA,NA,"496","8.0"
"CENSUS",2012,"YEAR",NA,"NEW YORK","36","OPERATIONS WITH AREA NOT HARVESTED",NA,NA,"202","13.8"
"CENSUS",2012,"YEAR",NA,"NORTH CAROLINA","37","ACRES GROWN",NA,NA,"1,028","6.9"
"CENSUS",2012,"YEAR",NA,"NORTH CAROLINA","37","ACRES HARVESTED",NA,NA,"978","7.6"
"CENSUS",2012,"YEAR",NA,"NORTH CAROLINA","37","ACRES NOT HARVESTED",NA,NA,"50","28.2"
"CENSUS",2012,"YEAR",NA,"NORTH CAROLINA","37","OPERATIONS WITH AREA GROWN",NA,NA,"407","7.2"
"CENSUS",2012,"YEAR",NA,"NORTH CAROLINA","37","OPERATIONS WITH AREA HARVESTED",NA,NA,"365","6.6"
"CENSUS",2012,"YEAR",NA,"NORTH CAROLINA","37","OPERATIONS WITH AREA NOT HARVESTED",NA,NA,"70","16.8"
"CENSUS",2012,"YEAR",NA,"OREGON","41","ACRES GROWN",NA,NA,"2,121","9.8"
"CENSUS",2012,"YEAR",NA,"OREGON","41","ACRES HARVESTED",NA,NA,"1,742","10.0"
"CENSUS",2012,"YEAR",NA,"OREGON","41","ACRES NOT HARVESTED",NA,NA,"380","13.5"
"CENSUS",2012,"YEAR",NA,"OREGON","41","OPERATIONS WITH AREA GROWN",NA,NA,"399","6.4"
"CENSUS",2012,"YEAR",NA,"OREGON","41","OPERATIONS WITH AREA HARVESTED",NA,NA,"342","5.3"
"CENSUS",2012,"YEAR",NA,"OREGON","41","OPERATIONS WITH AREA NOT HARVESTED",NA,NA,"128","7.2"
"CENSUS",2012,"YEAR",NA,"WASHINGTON","53","ACRES GROWN",NA,NA,"1,514","12.4"
"CENSUS",2012,"YEAR",NA,"WASHINGTON","53","ACRES HARVESTED",NA,NA,"1,313","13.3"
"CENSUS",2012,"YEAR",NA,"WASHINGTON","53","ACRES NOT HARVESTED",NA,NA,"201","10.4"
"CENSUS",2012,"YEAR",NA,"WASHINGTON","53","OPERATIONS WITH AREA GROWN",NA,NA,"614","17.2"
"CENSUS",2012,"YEAR",NA,"WASHINGTON","53","OPERATIONS WITH AREA HARVESTED",NA,NA,"477","13.0"
"CENSUS",2012,"YEAR",NA,"WASHINGTON","53","OPERATIONS WITH AREA NOT HARVESTED",NA,NA,"198","25.2"
"CENSUS",2007,"YEAR",NA,"CALIFORNIA","06","ACRES GROWN",NA,NA,"34,442",NA
"CENSUS",2007,"YEAR",NA,"CALIFORNIA","06","ACRES HARVESTED",NA,NA,"34,101",NA
"CENSUS",2007,"YEAR",NA,"CALIFORNIA","06","ACRES NOT HARVESTED",NA,NA,"341",NA
"CENSUS",2007,"YEAR",NA,"CALIFORNIA","06","OPERATIONS WITH AREA GROWN",NA,NA,"729",NA
"CENSUS",2007,"YEAR",NA,"CALIFORNIA","06","OPERATIONS WITH AREA HARVESTED",NA,NA,"719",NA
"CENSUS",2007,"YEAR",NA,"CALIFORNIA","06","OPERATIONS WITH AREA NOT HARVESTED",NA,NA,"77",NA
"CENSUS",2007,"YEAR",NA,"FLORIDA","12","ACRES GROWN",NA,NA,"6,594",NA
"CENSUS",2007,"YEAR",NA,"FLORIDA","12","ACRES HARVESTED",NA,NA,"6,538",NA
"CENSUS",2007,"YEAR",NA,"FLORIDA","12","ACRES NOT HARVESTED",NA,NA,"56",NA
"CENSUS",2007,"YEAR",NA,"FLORIDA","12","OPERATIONS WITH AREA GROWN",NA,NA,"212",NA
"CENSUS",2007,"YEAR",NA,"FLORIDA","12","OPERATIONS WITH AREA HARVESTED",NA,NA,"202",NA
"CENSUS",2007,"YEAR",NA,"FLORIDA","12","OPERATIONS WITH AREA NOT HARVESTED",NA,NA,"15",NA
"CENSUS",2007,"YEAR",NA,"NEW YORK","36","ACRES GROWN",NA,NA,"1,659",NA
"CENSUS",2007,"YEAR",NA,"NEW YORK","36","ACRES HARVESTED",NA,NA,"1,435",NA
"CENSUS",2007,"YEAR",NA,"NEW YORK","36","ACRES NOT HARVESTED",NA,NA,"224",NA
"CENSUS",2007,"YEAR",NA,"NEW YORK","36","OPERATIONS WITH AREA GROWN",NA,NA,"625",NA
"CENSUS",2007,"YEAR",NA,"NEW YORK","36","OPERATIONS WITH AREA HARVESTED",NA,NA,"598",NA
"CENSUS",2007,"YEAR",NA,"NEW YORK","36","OPERATIONS WITH AREA NOT HARVESTED",NA,NA,"146",NA
"CENSUS",2007,"YEAR",NA,"NORTH CAROLINA","37","ACRES GROWN",NA,NA,"1,360",NA
"CENSUS",2007,"YEAR",NA,"NORTH CAROLINA","37","ACRES HARVESTED",NA,NA,"1,303",NA
"CENSUS",2007,"YEAR",NA,"NORTH CAROLINA","37","ACRES NOT HARVESTED",NA,NA,"56",NA
"CENSUS",2007,"YEAR",NA,"NORTH CAROLINA","37","OPERATIONS WITH AREA GROWN",NA,NA,"380",NA
"CENSUS",2007,"YEAR",NA,"NORTH CAROLINA","37","OPERATIONS WITH AREA HARVESTED",NA,NA,"333",NA
"CENSUS",2007,"YEAR",NA,"NORTH CAROLINA","37","OPERATIONS WITH AREA NOT HARVESTED",NA,NA,"62",NA
"CENSUS",2007,"YEAR",NA,"OREGON","41","ACRES GROWN",NA,NA,"2,271",NA
"CENSUS",2007,"YEAR",NA,"OREGON","41","ACRES HARVESTED",NA,NA,"1,960",NA
"CENSUS",2007,"YEAR",NA,"OREGON","41","ACRES NOT HARVESTED",NA,NA,"311",NA
"CENSUS",2007,"YEAR",NA,"OREGON","41","OPERATIONS WITH AREA GROWN",NA,NA,"315",NA
"CENSUS",2007,"YEAR",NA,"OREGON","41","OPERATIONS WITH AREA HARVESTED",NA,NA,"285",NA
"CENSUS",2007,"YEAR",NA,"OREGON","41","OPERATIONS WITH AREA NOT HARVESTED",NA,NA,"67",NA
"CENSUS",2007,"YEAR",NA,"WASHINGTON","53","ACRES GROWN",NA,NA,"1,715",NA
"CENSUS",2007,"YEAR",NA,"WASHINGTON","53","ACRES HARVESTED",NA,NA,"1,408",NA
"CENSUS",2007,"YEAR",NA,"WASHINGTON","53","ACRES NOT HARVESTED",NA,NA,"307",NA
"CENSUS",2007,"YEAR",NA,"WASHINGTON","53","OPERATIONS WITH AREA GROWN",NA,NA,"326",NA
"CENSUS",2007,"YEAR",NA,"WASHINGTON","53","OPERATIONS WITH AREA HARVESTED",NA,NA,"304",NA
"CENSUS",2007,"YEAR",NA,"WASHINGTON","53","OPERATIONS WITH AREA NOT HARVESTED",NA,NA,"54",NA
"CENSUS",2002,"YEAR",NA,"CALIFORNIA","06","ACRES HARVESTED",NA,NA,"32,183",NA
"CENSUS",2002,"YEAR",NA,"CALIFORNIA","06","OPERATIONS WITH AREA HARVESTED",NA,NA,"684",NA
"CENSUS",2002,"YEAR",NA,"FLORIDA","12","ACRES HARVESTED",NA,NA,"6,595",NA
"CENSUS",2002,"YEAR",NA,"FLORIDA","12","OPERATIONS WITH AREA HARVESTED",NA,NA,"217",NA
"CENSUS",2002,"YEAR",NA,"NEW YORK","36","ACRES HARVESTED",NA,NA,"1,406",NA
"CENSUS",2002,"YEAR",NA,"NEW YORK","36","OPERATIONS WITH AREA HARVESTED",NA,NA,"488",NA
"CENSUS",2002,"YEAR",NA,"NORTH CAROLINA","37","ACRES HARVESTED",NA,NA,"991",NA
"CENSUS",2002,"YEAR",NA,"NORTH CAROLINA","37","OPERATIONS WITH AREA HARVESTED",NA,NA,"279",NA
"CENSUS",2002,"YEAR",NA,"OREGON","41","ACRES HARVESTED",NA,NA,"3,013",NA
"CENSUS",2002,"YEAR",NA,"OREGON","41","OPERATIONS WITH AREA HARVESTED",NA,NA,"328",NA
"CENSUS",2002,"YEAR",NA,"WASHINGTON","53","ACRES HARVESTED",NA,NA,"1,953",NA
"CENSUS",2002,"YEAR",NA,"WASHINGTON","53","OPERATIONS WITH AREA HARVESTED",NA,NA,"226",NA
"CENSUS",1997,"YEAR",NA,"CALIFORNIA","06","ACRES HARVESTED",NA,NA,"28,381",NA
"CENSUS",1997,"YEAR",NA,"CALIFORNIA","06","OPERATIONS WITH AREA HARVESTED",NA,NA,"882",NA
"CENSUS",1997,"YEAR",NA,"FLORIDA","12","ACRES HARVESTED",NA,NA,"6,434",NA
"CENSUS",1997,"YEAR",NA,"FLORIDA","12","OPERATIONS WITH AREA HARVESTED",NA,NA,"271",NA
"CENSUS",1997,"YEAR",NA,"NEW YORK","36","ACRES HARVESTED",NA,NA,"1,617",NA
"CENSUS",1997,"YEAR",NA,"NEW YORK","36","OPERATIONS WITH AREA HARVESTED",NA,NA,"539",NA
"CENSUS",1997,"YEAR",NA,"NORTH CAROLINA","37","ACRES HARVESTED",NA,NA,"943",NA
"CENSUS",1997,"YEAR",NA,"NORTH CAROLINA","37","OPERATIONS WITH AREA HARVESTED",NA,NA,"316",NA
"CENSUS",1997,"YEAR",NA,"OREGON","41","ACRES HARVESTED",NA,NA,"4,545",NA
"CENSUS",1997,"YEAR",NA,"OREGON","41","OPERATIONS WITH AREA HARVESTED",NA,NA,"365",NA
"CENSUS",1997,"YEAR",NA,"WASHINGTON","53","ACRES HARVESTED",NA,NA,"1,419",NA
"CENSUS",1997,"YEAR",NA,"WASHINGTON","53","OPERATIONS WITH AREA HARVESTED",NA,NA,"224",NA
