"Sample ID","Commod","Pesticide Code","Pesticide Name","Test Class","Concentration","LOD","pp_","Confirm 1","Confirm 2","Annotate","Quantitate","Mean","Extract","Determ","EPA Tolerance (ppm)","pesticide_name_clean"
"FL9810260038STFL2","ST","930","Bifenthrin","O",0.042,0.025,"M","D","I","Q",NA,"O","551","01","3","bifenthrin"
"FL9811120018STFL2","ST","052","Malathion","C",0.15,0.008,"M","D","I",NA,"M","O","551","16","8","malathion"
"FL9811120018STFL2","ST","930","Bifenthrin","O",0.042,0.025,"M","D","I","Q",NA,"O","551","01","3","bifenthrin"
"FL9811160025STFL2","ST","901","Endosulfan II","A",0.013,0.008,"M","D",NA,"Q",NA,"O","551","01","2","endosulfan ii"
"FL9811160025STFL2","ST","900","Endosulfan I","A",0.008,0.005,"M","D",NA,"Q",NA,"O","551","01","2","endosulfan i"
"FL9812140002STFL2","ST","808","Fenpropathrin","O",0.072,0.025,"M","D","I",NA,"M","O","551","01","2","fenpropathrin"
"MD9801260003STCA1","ST","159","Methomyl","E",0.12,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"MD9801260008STCA1","ST","102","Carbaryl","E",0.04,0.008,"M","M",NA,NA,"H","O","553","12","10","carbaryl"
"MD9803020003STCA1","ST","102","Carbaryl","E",1.8,0.008,"M","M",NA,NA,"H","R","553","12","10","carbaryl"
"MD9803020003STCA1","ST","902","Endosulfan sulfate","A",0.012,0.007,"M","D",NA,"Q","M","O","551","05","2","endosulfan sulfate"
"MD9803020003STCA1","ST","901","Endosulfan II","A",0.01,0.006,"M","D",NA,"Q","M","O","551","05","2","endosulfan ii"
"MD9803020003STCA1","ST","159","Methomyl","E",0.21,0.012,"M","M",NA,NA,"H","R","553","12","2","methomyl"
"MD9807130001STCA1","ST","102","Carbaryl","E",0.56,0.008,"M","M",NA,NA,"H","O","553","12","10","carbaryl"
"MD9808100005STCA1","ST","159","Methomyl","E",0.17,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"MD9808100008STCA1","ST","159","Methomyl","E",0.18,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"MD9808100008STCA1","ST","902","Endosulfan sulfate","A",0.021,0.007,"M","D","M",NA,"M","O","551","05","2","endosulfan sulfate"
"MD9808100036STCA1","ST","159","Methomyl","E",0.16,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"MD9812140001STCA1","ST","159","Methomyl","E",0.25,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"MD9812140008STCA1","ST","159","Methomyl","E",0.64,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"MI9801120006STWA1","ST","159","Methomyl","E",0.24,0.012,"M","D","P",NA,"M","O","553","12","2","methomyl"
"MI9804130038STWA1","ST","901","Endosulfan II","A",0.23,0.002,"M","D",NA,NA,"M","O","552","01","2","endosulfan ii"
"MI9804130038STWA1","ST","900","Endosulfan I","A",0.19,0.003,"M","D",NA,NA,"M","O","552","01","2","endosulfan i"
"MI9807130031STWA1","ST","902","Endosulfan sulfate","A",0.026,0.005,"M","D",NA,NA,"M","O","552","01","2","endosulfan sulfate"
"MI9807130031STWA1","ST","159","Methomyl","E",0.14,0.012,"M","D","P",NA,"M","O","553","12","2","methomyl"
"MI9807130031STWA1","ST","901","Endosulfan II","A",0.07,0.002,"M","D",NA,NA,"M","O","552","01","2","endosulfan ii"
"MI9807130038STWA1","ST","159","Methomyl","E",0.47,0.012,"M","D","P",NA,"M","O","553","12","2","methomyl"
"MI9807130038STWA1","ST","102","Carbaryl","E",0.035,0.021,"M","D","P","Q",NA,"O","553","12","10","carbaryl"
"MI9807130042STWA1","ST","159","Methomyl","E",0.17,0.012,"M","D","P",NA,"M","O","553","12","2","methomyl"
"MI9808100008STWA1","ST","159","Methomyl","E",0.11,0.012,"M","D","P",NA,"M","O","553","12","2","methomyl"
"MI9808100035STWA1","ST","052","Malathion","C",0.062,0.009,"M","D",NA,NA,"M","O","552","02","8","malathion"
"MI9808100035STWA1","ST","159","Methomyl","E",1,0.012,"M","D","P",NA,"M","O","553","12","2","methomyl"
"MI9808100039STWA1","ST","159","Methomyl","E",0.069,0.012,"M","D","P",NA,"M","O","553","12","2","methomyl"
"MI9808100039STWA1","ST","902","Endosulfan sulfate","A",0.031,0.005,"M","D",NA,NA,"M","O","552","01","2","endosulfan sulfate"
"MI9808100050STWA1","ST","901","Endosulfan II","A",0.003,0.002,"M","D",NA,"Q",NA,"O","552","01","2","endosulfan ii"
"MI9808100050STWA1","ST","159","Methomyl","E",0.02,0.012,"M","D","P","Q",NA,"O","553","12","2","methomyl"
"MI9809140005STWA1","ST","159","Methomyl","E",0.02,0.012,"M","D",NA,"Q",NA,"O","553","12","2","methomyl"
"MI9809140042STWA1","ST","159","Methomyl","E",0.02,0.012,"M","D","P","Q",NA,"O","553","12","2","methomyl"
"MI9809140042STWA1","ST","052","Malathion","C",0.015,0.009,"M","D",NA,"Q",NA,"O","552","02","8","malathion"
"MI9809140042STWA1","ST","910","DDE p,p'","A",0.005,0.003,"M","D",NA,"QV",NA,"O","552","01","NT","dde p,p'"
"MI9810050040STWA1","ST","159","Methomyl","E",0.38,0.012,"M","D","P",NA,"M","O","553","12","2","methomyl"
"MI9810050045STWA1","ST","102","Carbaryl","E",0.87,0.021,"M","D","P",NA,"M","O","553","12","10","carbaryl"
"MI9810050050STWA1","ST","159","Methomyl","E",0.36,0.012,"M","D","P",NA,"M","O","553","12","2","methomyl"
"MI9812070008STWA1","ST","159","Methomyl","E",0.43,0.012,"M","D","P",NA,"M","O","553","12","2","methomyl"
"MI9812070034STWA1","ST","159","Methomyl","E",0.52,0.012,"M","D","P",NA,"M","O","553","12","2","methomyl"
"MI9812070038STWA1","ST","159","Methomyl","E",0.64,0.012,"M","D","P",NA,"M","O","553","12","2","methomyl"
"MI9812070050STWA1","ST","102","Carbaryl","E",2.8,0.021,"M","D","P",NA,"M","O","553","12","10","carbaryl"
"MI9812070050STWA1","ST","159","Methomyl","E",1,0.012,"M","D","P",NA,"M","O","553","12","2","methomyl"
"NY9801210017STNY1","ST","930","Bifenthrin","O",0.083,0.01,"M","I",NA,NA,"M","O","999","08","3","bifenthrin"
"NY9801210017STNY1","ST","159","Methomyl","E",0.013,0.008,"M","P",NA,"Q","H","O","999","12","2","methomyl"
"NY9801210079STNY1","ST","714","Esfenvalerate","O",0.033,0.02,"M","I",NA,"QV","M","O","999","08","NT","esfenvalerate"
"NY9801210079STNY1","ST","930","Bifenthrin","O",0.017,0.01,"M","I",NA,"Q","M","O","999","08","3","bifenthrin"
"NY9802170015STNY1","ST","024","Diazinon","C",0.007,0.004,"M","D","M","Q","M","O","999","02","0.5","diazinon"
"NY9802170017STNY1","ST","159","Methomyl","E",4.4,0.008,"M","P",NA,"X","H","A","999","12","2","methomyl"
"NY9802170085STNY1","ST","338","Dichlorvos (DDVP)","C",0.009,0.002,"M","D","M",NA,"M","O","999","02","1","dichlorvos (ddvp)"
"NY9802170085STNY1","ST","159","Methomyl","E",0.024,0.008,"M","P",NA,NA,"H","O","999","12","2","methomyl"
"NY9802170088STNY1","ST","808","Fenpropathrin","O",0.43,0.007,"M","I",NA,NA,"M","O","999","08","2","fenpropathrin"
"NY9802170088STNY1","ST","930","Bifenthrin","O",0.017,0.01,"M","I",NA,"Q","M","O","999","08","3","bifenthrin"
"NY9802170141STNY1","ST","159","Methomyl","E",3.8,0.008,"M","P",NA,"X","H","A","999","12","2","methomyl"
"NY9803230085STNY1","ST","102","Carbaryl","E",2.1,0.006,"M","I","P",NA,"H","O","999","12","10","carbaryl"
"NY9803230100STNY1","ST","808","Fenpropathrin","O",0.27,0.026,"M","I",NA,NA,"M","O","999","08","2","fenpropathrin"
"NY9803230138STNY1","ST","102","Carbaryl","E",0.22,0.006,"M","I","P",NA,"H","O","999","12","10","carbaryl"
"NY9804200030STNY1","ST","102","Carbaryl","E",0.059,0.006,"M","I","P",NA,"H","O","999","12","10","carbaryl"
"NY9804200085STNY1","ST","102","Carbaryl","E",0.01,0.006,"M","P",NA,"Q","H","O","999","12","10","carbaryl"
"NY9804200100STNY1","ST","102","Carbaryl","E",0.056,0.006,"M","I","P",NA,"H","O","999","12","10","carbaryl"
"NY9804200102STNY1","ST","102","Carbaryl","E",0.041,0.006,"M","I","P",NA,"H","O","999","12","10","carbaryl"
"NY9804200113STNY1","ST","102","Carbaryl","E",0.029,0.006,"M","I","P",NA,"H","O","999","12","10","carbaryl"
"NY9805270088STNY1","ST","102","Carbaryl","E",0.17,0.006,"M","I","P",NA,"H","O","999","12","10","carbaryl"
"NY9805270100STNY1","ST","808","Fenpropathrin","O",0.25,0.026,"M","I",NA,NA,"M","O","999","08","2","fenpropathrin"
"NY9805270113STNY1","ST","808","Fenpropathrin","O",0.043,0.026,"M","I",NA,"Q","M","O","999","08","2","fenpropathrin"
"NY9806170054STNY1","ST","102","Carbaryl","E",0.01,0.006,"M","P",NA,"Q","H","O","999","12","10","carbaryl"
"NY9806170113STNY1","ST","052","Malathion","C",0.005,0.002,"M","D","M",NA,"M","O","999","02","8","malathion"
"NY9806170113STNY1","ST","159","Methomyl","E",0.1,0.008,"M","P",NA,NA,"H","O","999","12","2","methomyl"
"NY9806170145STNY1","ST","159","Methomyl","E",3.1,0.008,"M","P",NA,"X","H","A","999","12","2","methomyl"
"NY9806170145STNY1","ST","052","Malathion","C",0.03,0.002,"M","D","M",NA,"M","O","999","02","8","malathion"
"NY9806170250STNY1","ST","052","Malathion","C",0.3,0.002,"M","D","M",NA,"M","O","999","02","8","malathion"
"NY9807060006STNY1","ST","159","Methomyl","E",0.013,0.008,"M","P",NA,"Q","H","O","999","12","2","methomyl"
"NY9807060006STNY1","ST","338","Dichlorvos (DDVP)","C",0.011,0.002,"M","D","M",NA,"M","O","999","02","1","dichlorvos (ddvp)"
"NY9807060006STNY1","ST","102","Carbaryl","E",0.01,0.006,"M","P",NA,"Q","H","O","999","12","10","carbaryl"
"NY9807060006STNY1","ST","052","Malathion","C",0.082,0.002,"M","D","M",NA,"M","O","999","02","8","malathion"
"NY9807060009STNY1","ST","052","Malathion","C",0.026,0.002,"M","D","M",NA,"M","O","999","02","8","malathion"
"NY9807060009STNY1","ST","102","Carbaryl","E",0.022,0.006,"M","P",NA,NA,"H","O","999","12","10","carbaryl"
"NY9807060009STNY1","ST","159","Methomyl","E",0.013,0.008,"M","P",NA,"Q","H","O","999","12","2","methomyl"
"NY9807060017STNY1","ST","052","Malathion","C",0.057,0.002,"M","D","M",NA,"M","O","999","02","8","malathion"
"NY9807060017STNY1","ST","159","Methomyl","E",0.013,0.008,"M","P",NA,"Q","H","O","999","12","2","methomyl"
"NY9807060017STNY1","ST","338","Dichlorvos (DDVP)","C",0.011,0.002,"M","D","M",NA,"M","O","999","02","1","dichlorvos (ddvp)"
"NY9807060088STNY1","ST","808","Fenpropathrin","O",0.031,0.007,"M","I",NA,NA,"M","O","999","08","2","fenpropathrin"
"NY9807060088STNY1","ST","902","Endosulfan sulfate","A",0.012,0.003,"M","D","M",NA,"M","O","999","05","2","endosulfan sulfate"
"NY9807060088STNY1","ST","102","Carbaryl","E",0.01,0.006,"M","P",NA,"Q","H","O","999","12","10","carbaryl"
"NY9807060089STNY1","ST","052","Malathion","C",0.014,0.002,"M","D","M",NA,"M","O","999","02","8","malathion"
"NY9807060089STNY1","ST","102","Carbaryl","E",0.01,0.006,"M","P",NA,"Q","H","O","999","12","10","carbaryl"
"NY9807060089STNY1","ST","901","Endosulfan II","A",0.009,0.003,"M","D","M",NA,"M","O","999","05","2","endosulfan ii"
"NY9807060089STNY1","ST","900","Endosulfan I","A",0.006,0.002,"M","D","M",NA,"M","O","999","05","2","endosulfan i"
"NY9807060089STNY1","ST","902","Endosulfan sulfate","A",0.005,0.003,"M","D","M","Q","M","O","999","05","2","endosulfan sulfate"
"NY9807060113STNY1","ST","159","Methomyl","E",0.036,0.008,"M","P",NA,NA,"H","O","999","12","2","methomyl"
"NY9807060113STNY1","ST","900","Endosulfan I","A",0.003,0.002,"M","D","M","Q","M","O","999","05","2","endosulfan i"
"NY9807060113STNY1","ST","902","Endosulfan sulfate","A",0.005,0.003,"M","D","M","Q","M","O","999","05","2","endosulfan sulfate"
"NY9807060113STNY1","ST","901","Endosulfan II","A",0.005,0.003,"M","D","M","Q","M","O","999","05","2","endosulfan ii"
"NY9807080021STNY1","ST","102","Carbaryl","E",0.01,0.006,"M","P",NA,"Q","H","O","999","12","10","carbaryl"
"NY9807080048STNY1","ST","102","Carbaryl","E",0.038,0.006,"M","I","P",NA,"H","O","999","12","10","carbaryl"
"NY9807080048STNY1","ST","052","Malathion","C",0.037,0.002,"M","D","M",NA,"M","O","999","02","8","malathion"
"NY9808040009STNY1","ST","808","Fenpropathrin","O",0.37,0.007,"M","I",NA,NA,"M","O","999","08","2","fenpropathrin"
"NY9808040009STNY1","ST","052","Malathion","C",0.076,0.002,"M","D","M",NA,"M","O","999","02","8","malathion"
"NY9808040015STNY1","ST","808","Fenpropathrin","O",0.15,0.007,"M","I",NA,NA,"M","O","999","08","2","fenpropathrin"
"NY9808040015STNY1","ST","052","Malathion","C",0.07,0.002,"M","D","M",NA,"M","O","999","02","8","malathion"
"NY9808040017STNY1","ST","159","Methomyl","E",0.82,0.008,"M","P",NA,NA,"H","O","999","12","2","methomyl"
"NY9808040079STNY1","ST","159","Methomyl","E",1.4,0.008,"M","P",NA,NA,"H","O","999","12","2","methomyl"
"NY9808040085STNY1","ST","900","Endosulfan I","A",0.003,0.002,"M","D",NA,"Q","M","O","999","05","2","endosulfan i"
"NY9808040085STNY1","ST","159","Methomyl","E",0.22,0.008,"M","P",NA,NA,"H","O","999","12","2","methomyl"
"NY9808040085STNY1","ST","902","Endosulfan sulfate","A",0.036,0.003,"M","D","M",NA,"M","O","999","05","2","endosulfan sulfate"
"NY9808040100STNY1","ST","159","Methomyl","E",0.013,0.008,"M","P",NA,"Q","H","O","999","12","2","methomyl"
"NY9808040113STNY1","ST","902","Endosulfan sulfate","A",0.037,0.003,"M","D","M",NA,"M","O","999","05","2","endosulfan sulfate"
"NY9808040113STNY1","ST","901","Endosulfan II","A",0.01,0.003,"M","D",NA,NA,"M","O","999","05","2","endosulfan ii"
"NY9808040113STNY1","ST","159","Methomyl","E",0.072,0.008,"M","P",NA,NA,"H","O","999","12","2","methomyl"
"NY9808040141STNY1","ST","052","Malathion","C",0.035,0.002,"M","D","M",NA,"M","O","999","02","8","malathion"
"NY9808040254STNY1","ST","808","Fenpropathrin","O",0.025,0.007,"M","I",NA,NA,"M","O","999","08","2","fenpropathrin"
"NY9809160009STNY1","ST","808","Fenpropathrin","O",0.13,0.007,"M","I",NA,NA,"M","O","999","08","2","fenpropathrin"
"NY9809160017STNY1","ST","159","Methomyl","E",0.61,0.008,"M","P",NA,NA,"H","O","999","12","2","methomyl"
"NY9809160017STNY1","ST","052","Malathion","C",0.014,0.002,"M","D","M",NA,"M","O","999","02","8","malathion"
"NY9809160017STNY1","ST","808","Fenpropathrin","O",0.012,0.007,"M","I",NA,"Q","M","O","999","08","2","fenpropathrin"
"NY9809160048STNY1","ST","159","Methomyl","E",0.67,0.008,"M","P",NA,NA,"H","O","999","12","2","methomyl"
"NY9809160048STNY1","ST","338","Dichlorvos (DDVP)","C",0.027,0.002,"M","D","M",NA,"M","O","999","02","1","dichlorvos (ddvp)"
"NY9809160081STNY1","ST","159","Methomyl","E",0.013,0.008,"M","P",NA,"Q","H","O","999","12","2","methomyl"
"NY9809160081STNY1","ST","930","Bifenthrin","O",0.035,0.003,"M","I","M",NA,"M","O","999","08","3","bifenthrin"
"NY9809160088STNY1","ST","808","Fenpropathrin","O",0.083,0.007,"M","I",NA,NA,"M","O","999","08","2","fenpropathrin"
"NY9809160113STNY1","ST","159","Methomyl","E",0.11,0.008,"M","P",NA,NA,"H","O","999","12","2","methomyl"
"NY9809160113STNY1","ST","160","Chlorpyrifos","C",0.005,0.003,"M","D",NA,"Q","M","O","999","02","0.2","chlorpyrifos"
"NY9809160113STNY1","ST","808","Fenpropathrin","O",0.012,0.007,"M","I",NA,"Q","M","O","999","08","2","fenpropathrin"
"NY9809160141STNY1","ST","930","Bifenthrin","O",0.085,0.003,"M","I","M",NA,"M","O","999","08","3","bifenthrin"
"NY9809160141STNY1","ST","102","Carbaryl","E",0.01,0.006,"M","P",NA,"Q","H","O","999","12","10","carbaryl"
"NY9809160141STNY1","ST","052","Malathion","C",0.003,0.002,"M","D","M","Q","M","O","999","02","8","malathion"
"NY9809160254STNY1","ST","102","Carbaryl","E",1.1,0.006,"M","I","P",NA,"H","O","999","12","10","carbaryl"
"NY9810050006STNY1","ST","159","Methomyl","E",0.23,0.008,"M","P",NA,NA,"H","O","999","12","2","methomyl"
"NY9810050006STNY1","ST","808","Fenpropathrin","O",0.15,0.007,"M","I",NA,NA,"M","O","999","08","2","fenpropathrin"
"NY9810050009STNY1","ST","930","Bifenthrin","O",0.23,0.003,"M","I","M",NA,"M","O","999","08","3","bifenthrin"
"NY9810050009STNY1","ST","159","Methomyl","E",3.6,0.008,"M","P",NA,"X","H","A","999","12","2","methomyl"
"NY9810050017STNY1","ST","159","Methomyl","E",0.013,0.008,"M","P",NA,"Q","H","O","999","12","2","methomyl"
"NY9810050017STNY1","ST","930","Bifenthrin","O",0.094,0.003,"M","I","M",NA,"M","O","999","08","3","bifenthrin"
"NY9810050068STNY1","ST","052","Malathion","C",0.003,0.002,"M","D","M","Q","M","O","999","02","8","malathion"
"NY9810050088STNY1","ST","102","Carbaryl","E",0.082,0.006,"M","I","P",NA,"H","O","999","12","10","carbaryl"
"NY9810050088STNY1","ST","052","Malathion","C",0.003,0.002,"M","D","M","Q","M","O","999","02","8","malathion"
"NY9810050113STNY1","ST","159","Methomyl","E",0.36,0.008,"M","P",NA,NA,"H","O","999","12","2","methomyl"
"NY9810050113STNY1","ST","052","Malathion","C",0.008,0.002,"M","D","M",NA,"M","O","999","02","8","malathion"
"NY9810050113STNY1","ST","160","Chlorpyrifos","C",0.005,0.003,"M","D","M","Q","M","O","999","02","0.2","chlorpyrifos"
"NY9810050113STNY1","ST","808","Fenpropathrin","O",0.096,0.007,"M","I",NA,NA,"M","O","999","08","2","fenpropathrin"
"NY9810050254STNY1","ST","102","Carbaryl","E",0.01,0.006,"M","I","P","Q","H","O","999","12","10","carbaryl"
"NY9810050254STNY1","ST","808","Fenpropathrin","O",0.061,0.007,"M","I",NA,NA,"M","O","999","08","2","fenpropathrin"
"NY9811170009STNY1","ST","159","Methomyl","E",0.013,0.008,"M","P",NA,"Q","H","O","999","12","2","methomyl"
"NY9811170009STNY1","ST","338","Dichlorvos (DDVP)","C",0.008,0.002,"M","D","M",NA,"M","O","999","02","1","dichlorvos (ddvp)"
"NY9811170100STNY1","ST","901","Endosulfan II","A",0.005,0.003,"M","D",NA,"Q","M","O","999","05","2","endosulfan ii"
"NY9811170100STNY1","ST","159","Methomyl","E",0.013,0.008,"M","P",NA,"Q","H","O","999","12","2","methomyl"
"NY9811170151STNY1","ST","159","Methomyl","E",0.15,0.008,"M","P",NA,NA,"H","O","999","12","2","methomyl"
"NY9811170151STNY1","ST","930","Bifenthrin","O",0.083,0.05,"M","MO",NA,"Q","M","O","999","08","3","bifenthrin"
"NY9812200254STNY1","ST","808","Fenpropathrin","O",0.86,0.025,"M","MO",NA,NA,"M","O","999","07","2","fenpropathrin"
"NY9812200254STNY1","ST","159","Methomyl","E",0.013,0.008,"M","P",NA,"Q","H","O","999","12","2","methomyl"
